"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 1, 'train_acc': 0.8304, 'test_acc': 0.8349, 'train_loss': 0.7483, 'test_loss': 0.7324, 'val_acc': 0.8298, 'val_loss': 0.7466}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 22, 'train_acc': 0.9543, 'test_acc': 0.9547, 'train_loss': 0.153, 'test_loss': 0.1533, 'val_acc': 0.9505, 'val_loss': 0.1598}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 23, 'train_acc': 0.955, 'test_acc': 0.9543, 'train_loss': 0.1497, 'test_loss': 0.1511, 'val_acc': 0.9512, 'val_loss': 0.1558}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 24, 'train_acc': 0.956, 'test_acc': 0.9561, 'train_loss': 0.1473, 'test_loss': 0.1497, 'val_acc': 0.9513, 'val_loss': 0.1561}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 25, 'train_acc': 0.957, 'test_acc': 0.9542, 'train_loss': 0.1432, 'test_loss': 0.1454, 'val_acc': 0.9552, 'val_loss': 0.1503}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 26, 'train_acc': 0.956, 'test_acc': 0.9542, 'train_loss': 0.1448, 'test_loss': 0.1476, 'val_acc': 0.954, 'val_loss': 0.152}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 27, 'train_acc': 0.9591, 'test_acc': 0.9575, 'train_loss': 0.1382, 'test_loss': 0.1424, 'val_acc': 0.9547, 'val_loss': 0.1471}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 28, 'train_acc': 0.9589, 'test_acc': 0.9581, 'train_loss': 0.1382, 'test_loss': 0.1424, 'val_acc': 0.9535, 'val_loss': 0.1507}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 29, 'train_acc': 0.9613, 'test_acc': 0.9586, 'train_loss': 0.1307, 'test_loss': 0.1353, 'val_acc': 0.9555, 'val_loss': 0.1416}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 30, 'train_acc': 0.9619, 'test_acc': 0.9593, 'train_loss': 0.127, 'test_loss': 0.1324, 'val_acc': 0.9594, 'val_loss': 0.1353}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 31, 'train_acc': 0.9634, 'test_acc': 0.9591, 'train_loss': 0.1244, 'test_loss': 0.131, 'val_acc': 0.9591, 'val_loss': 0.133}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 32, 'train_acc': 0.9642, 'test_acc': 0.9607, 'train_loss': 0.1202, 'test_loss': 0.1257, 'val_acc': 0.9603, 'val_loss': 0.1299}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 33, 'train_acc': 0.9643, 'test_acc': 0.9611, 'train_loss': 0.1184, 'test_loss': 0.1252, 'val_acc': 0.9605, 'val_loss': 0.1277}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 34, 'train_acc': 0.9654, 'test_acc': 0.9607, 'train_loss': 0.1172, 'test_loss': 0.1264, 'val_acc': 0.9595, 'val_loss': 0.1284}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 35, 'train_acc': 0.9668, 'test_acc': 0.9604, 'train_loss': 0.1143, 'test_loss': 0.1234, 'val_acc': 0.963, 'val_loss': 0.1252}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 36, 'train_acc': 0.9664, 'test_acc': 0.9618, 'train_loss': 0.1125, 'test_loss': 0.1233, 'val_acc': 0.9634, 'val_loss': 0.1242}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 37, 'train_acc': 0.9668, 'test_acc': 0.9622, 'train_loss': 0.1131, 'test_loss': 0.1239, 'val_acc': 0.962, 'val_loss': 0.1247}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 38, 'train_acc': 0.9662, 'test_acc': 0.9605, 'train_loss': 0.1128, 'test_loss': 0.123, 'val_acc': 0.9605, 'val_loss': 0.1278}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 39, 'train_acc': 0.9681, 'test_acc': 0.963, 'train_loss': 0.1075, 'test_loss': 0.1185, 'val_acc': 0.9627, 'val_loss': 0.1207}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 40, 'train_acc': 0.9688, 'test_acc': 0.963, 'train_loss': 0.1073, 'test_loss': 0.1198, 'val_acc': 0.9623, 'val_loss': 0.1233}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 41, 'train_acc': 0.9699, 'test_acc': 0.9654, 'train_loss': 0.1031, 'test_loss': 0.1134, 'val_acc': 0.9645, 'val_loss': 0.1178}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 42, 'train_acc': 0.9685, 'test_acc': 0.9648, 'train_loss': 0.1042, 'test_loss': 0.1153, 'val_acc': 0.9642, 'val_loss': 0.1194}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 43, 'train_acc': 0.9703, 'test_acc': 0.9648, 'train_loss': 0.0999, 'test_loss': 0.1115, 'val_acc': 0.9652, 'val_loss': 0.1154}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 44, 'train_acc': 0.9691, 'test_acc': 0.9629, 'train_loss': 0.1029, 'test_loss': 0.1167, 'val_acc': 0.9637, 'val_loss': 0.1185}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 45, 'train_acc': 0.9718, 'test_acc': 0.965, 'train_loss': 0.096, 'test_loss': 0.108, 'val_acc': 0.9666, 'val_loss': 0.1123}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 46, 'train_acc': 0.9716, 'test_acc': 0.9646, 'train_loss': 0.0976, 'test_loss': 0.1093, 'val_acc': 0.9657, 'val_loss': 0.1137}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 47, 'train_acc': 0.9723, 'test_acc': 0.9683, 'train_loss': 0.0939, 'test_loss': 0.1036, 'val_acc': 0.9668, 'val_loss': 0.1132}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 48, 'train_acc': 0.9733, 'test_acc': 0.9683, 'train_loss': 0.0913, 'test_loss': 0.1051, 'val_acc': 0.9662, 'val_loss': 0.1103}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 49, 'train_acc': 0.9736, 'test_acc': 0.9681, 'train_loss': 0.0896, 'test_loss': 0.1046, 'val_acc': 0.9673, 'val_loss': 0.108}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 50, 'train_acc': 0.9737, 'test_acc': 0.9685, 'train_loss': 0.089, 'test_loss': 0.1046, 'val_acc': 0.9678, 'val_loss': 0.1079}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 51, 'train_acc': 0.9748, 'test_acc': 0.9678, 'train_loss': 0.0866, 'test_loss': 0.101, 'val_acc': 0.968, 'val_loss': 0.1055}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 52, 'train_acc': 0.9755, 'test_acc': 0.9687, 'train_loss': 0.0853, 'test_loss': 0.1003, 'val_acc': 0.969, 'val_loss': 0.1039}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 53, 'train_acc': 0.9742, 'test_acc': 0.9687, 'train_loss': 0.0878, 'test_loss': 0.1023, 'val_acc': 0.9681, 'val_loss': 0.108}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 54, 'train_acc': 0.9763, 'test_acc': 0.9693, 'train_loss': 0.082, 'test_loss': 0.0986, 'val_acc': 0.9703, 'val_loss': 0.0999}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 55, 'train_acc': 0.9759, 'test_acc': 0.9689, 'train_loss': 0.084, 'test_loss': 0.1001, 'val_acc': 0.9687, 'val_loss': 0.1047}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 56, 'train_acc': 0.9758, 'test_acc': 0.968, 'train_loss': 0.0824, 'test_loss': 0.0993, 'val_acc': 0.9688, 'val_loss': 0.1029}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 57, 'train_acc': 0.9769, 'test_acc': 0.9692, 'train_loss': 0.0798, 'test_loss': 0.0964, 'val_acc': 0.9711, 'val_loss': 0.0996}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 58, 'train_acc': 0.9766, 'test_acc': 0.97, 'train_loss': 0.0802, 'test_loss': 0.0971, 'val_acc': 0.97, 'val_loss': 0.0995}"
